iter	Passed	Remaining
938	4164	270
939	4168	266
940	4172	261
941	4176	257
942	4180	252
943	4184	248
944	4189	243
945	4193	239
946	4196	234
947	4201	230
948	4205	226
949	4209	221
950	4214	217
951	4218	212
952	4221	208
953	4225	203
954	4230	199
955	4234	194
956	4238	190
957	4242	185
958	4246	181
959	4252	177
960	4257	172
961	4261	168
962	4266	163
963	4270	159
964	4275	155
965	4280	150
966	4284	146
967	4289	141
968	4294	137
969	4299	132
970	4303	128
971	4309	124
972	4313	119
973	4318	115
974	4322	110
975	4326	106
976	4330	101
977	4335	97
978	4339	93
979	4344	88
980	4349	84
981	4354	79
982	4359	75
983	4363	70
984	4368	66
985	4373	62
986	4377	57
987	4382	53
988	4387	48
989	4392	44
990	4396	39
991	4401	35
992	4406	31
993	4410	26
994	4415	22
995	4419	17
996	4423	13
997	4427	8
998	4432	4
999	4436	0
